Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Target
114872833,2323,3529,22691,6656132,411,0,9.767972449,36.1970986,4380,0,1886.124114,743.5411887,58141.01407,50.94328961,19633.02564,433433.4618,10000000,-1,115000000,49461.40138,688510.6374,10000000,1,115000000,32553.61054,559174.605,10000000,47,0,0,0,0,46472,70724,20.22236189,30.72092772,0,4380,1141.093969,1084.82177,1176838.273,0,0,0,1,0,0,0,0,1,1141.288961,9.767972449,1886.124114,46472,0,0,0,0,0,0,2323,22691,3529,6656132,8192,110,2322,20,440622.0909,1383992.342,4613516,23220,10000000.0,597.0791329,10000000,9999600,0
117801877,2,2,97,469,51,46,48.5,3.535533906,357,112,234.5,173.2411614,4.804677263,0.033955316,39300000.0,67900000.0,118000000,47836,118000000,118000000.0,0.0,118000000,118000000,118000000,118000000.0,0.0,118000000,118000000,0,0,0,0,64,40,0.016977658,0.016977658,46,357,123.4,133.391529,17793.3,0,0,0,0,0,0,0,0,1,154.25,48.5,234.5,64,0,0,0,0,0,0,2,97,2,469,-1,-1,1,32,47836.0,0.0,47836,47836,118000000.0,0.0,118000000,118000000,0
5203722,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.768680571,1734574.0,3003757.159,5203014,136,5203722,2601861.0,3678585.85,5203014,708,0,0.0,0.0,0,0,0,0,0,0,104,40,0.576510428,0.192170143,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
5338311,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.749300668,1779437.0,3081476.011,5337619,130,5338311,2669155.5,3773777.272,5337619,692,0,0.0,0.0,0,0,0,0,0,0,104,40,0.561975501,0.187325167,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
188,2,2,60,272,30,30,30.0,0.0,136,136,136.0,0.0,1765957.447,21276.59574,62.66666667,101.6136474,180,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,80,80,10638.29787,10638.29787,30,136,72.4,58.0585911,3370.8,0,0,0,0,0,0,0,0,1,90.5,30.0,136.0,80,0,0,0,0,0,0,2,60,2,272,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,0
23491,2,2,80,112,40,40,40.0,0.0,56,56,56.0,0.0,8173.342982,170.2779788,7830.333333,13517.51976,23439,4,4,4.0,0.0,4,4,48,48.0,0.0,48,48,0,0,0,0,40,40,85.1389894,85.1389894,40,56,46.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,58.0,40.0,56.0,40,0,0,0,0,0,0,2,80,2,112,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
5838855,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.685065822,1946285.0,3370440.108,5838134,147,5838855,2919427.5,4127674.317,5838134,721,0,0.0,0.0,0,0,0,0,0,0,104,40,0.513799366,0.171266455,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
65,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,30769.23077,65.0,0.0,65,65,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,15384.61538,15384.61538,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,237,235,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
5185197,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.771426814,1728399.0,2992884.217,5184284,159,5185197,2592598.5,3665196.784,5184284,913,0,0.0,0.0,0,0,0,0,0,0,104,40,0.57857011,0.192856703,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
1,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,12000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,40,0,2000000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
